season,candidate,seed,weight,gain
2022,hard,42,0.025,-3.6362112989268836e-05
2022,hard,42,0.05,-9.757018888378877e-05
2022,hard,42,0.1,-0.00029452422938849865
2022,hard,42,0.15,-0.0005908621215142962
2022,uncertainty_0p5,42,0.025,-2.0461407643224128e-07
2022,uncertainty_0p5,42,0.05,-4.807428927167123e-07
2022,uncertainty_0p5,42,0.1,-1.2475447448423438e-06
2022,uncertainty_0p5,42,0.15,-2.3004055563213832e-06
2022,uncertainty_1p0,42,0.025,-6.668042187296663e-07
2022,uncertainty_1p0,42,0.05,-1.4155071220989246e-06
2022,uncertainty_1p0,42,0.1,-3.1586089827007058e-06
2022,uncertainty_1p0,42,0.15,-5.229305581500032e-06
2023,hard,42,0.025,0.0002283273156646337
2023,hard,42,0.05,0.000433112166436711
2023,hard,42,0.1,0.000772054473303696
2023,hard,42,0.15,0.001016826920600733
2023,uncertainty_0p5,42,0.025,-4.202393486640865e-06
2023,uncertainty_0p5,42,0.05,-8.47739949971782e-06
2023,uncertainty_0p5,42,0.1,-1.724524910456937e-05
2023,uncertainty_0p5,42,0.15,-2.6303548814554656e-05
2023,uncertainty_1p0,42,0.025,-4.4236494932681225e-06
2023,uncertainty_1p0,42,0.05,-8.923230700896845e-06
2023,uncertainty_1p0,42,0.1,-1.815018825923609e-05
2023,uncertainty_1p0,42,0.15,-2.768087267501773e-05
2024,hard,42,0.025,-2.4252696764759385e-07
2024,hard,42,0.05,-2.61103951897379e-05
2024,hard,42,0.1,-0.00015472215539694134
2024,hard,42,0.15,-0.0003858352806216936
2024,uncertainty_0p5,42,0.025,6.258710796291922e-07
2024,uncertainty_0p5,42,0.05,1.1911676449649633e-06
2024,uncertainty_0p5,42,0.1,2.1400372326729755e-06
2024,uncertainty_0p5,42,0.15,2.8466087633460813e-06
2024,uncertainty_1p0,42,0.025,5.022598724424565e-07
2024,uncertainty_1p0,42,0.05,9.409384084946293e-07
2024,uncertainty_1p0,42,0.1,1.6275514717056794e-06
2024,uncertainty_1p0,42,0.15,2.059839189577639e-06
2022,hard,43,0.025,-3.621077341720014e-05
2022,hard,43,0.05,-9.739700303215693e-05
2022,hard,43,0.1,-0.0002946958308548131
2022,hard,43,0.15,-0.0005918964834680795
2022,uncertainty_0p5,43,0.025,-2.3100387855357063e-07
2022,uncertainty_0p5,43,0.05,-5.354883505503949e-07
2022,uncertainty_0p5,43,0.1,-1.3648990750403378e-06
2022,uncertainty_0p5,43,0.15,-2.488232173580851e-06
2022,uncertainty_1p0,43,0.025,-5.972335688220198e-07
2022,uncertainty_1p0,43,0.05,-1.2748960368513806e-06
2022,uncertainty_1p0,43,0.1,-2.871507670476614e-06
2022,uncertainty_1p0,43,0.15,-4.789834900847945e-06
2023,hard,43,0.025,0.00022917147151535477
2023,hard,43,0.05,0.0004347936201992697
2023,hard,43,0.1,0.000775389949072558
2023,hard,43,0.15,0.0010217889866198093
2023,uncertainty_0p5,43,0.025,-6.312949511311228e-06
2023,uncertainty_0p5,43,0.05,-1.2698512345699076e-05
2023,uncertainty_0p5,43,0.1,-2.5687477983704632e-05
2023,uncertainty_0p5,43,0.15,-3.8966896913905646e-05
2023,uncertainty_1p0,43,0.025,-5.61789416403391e-06
2023,uncertainty_1p0,43,0.05,-1.1311642817479761e-05
2023,uncertainty_1p0,43,0.1,-2.292670359221871e-05
2023,uncertainty_1p0,43,0.15,-3.484518232432787e-05
2024,hard,43,0.025,-1.5426731653223058e-07
2024,hard,43,0.05,-2.604065554617785e-05
2024,hard,43,0.1,-0.00015500979474486476
2024,hard,43,0.15,-0.00038690741759606073
2024,uncertainty_0p5,43,0.025,3.04700573217076e-07
2024,uncertainty_0p5,43,0.05,5.488745678794427e-07
2024,uncertainty_0p5,43,0.1,8.556428216510703e-07
2024,uncertainty_0p5,43,0.15,9.203047613703941e-07
2024,uncertainty_1p0,43,0.025,4.844398008019279e-07
2024,uncertainty_1p0,43,0.05,9.054345377346174e-07
2024,uncertainty_1p0,43,0.1,1.5570888207694367e-06
2024,uncertainty_1p0,43,0.15,1.9549628490767024e-06
