season,candidate,seed,segment,n,gain
2022,hard,42,top_1pct,2475,0.312582806690645
2022,hard,42,top_5pct,12374,0.2516018351856567
2022,hard,42,top_10pct,24748,0.21054117965071237
2022,hard,42,top_20pct,49495,0.16317056124021215
2022,hard,42,false_confident_positive,833,0.2198505880633643
2022,hard,42,false_confident_negative,9005,0.2689075825989068
2022,uncertainty_0p5,42,top_1pct,2475,-0.0070856167745649845
2022,uncertainty_0p5,42,top_5pct,12374,-0.004063350981227398
2022,uncertainty_0p5,42,top_10pct,24748,-0.002705294161740257
2022,uncertainty_0p5,42,top_20pct,49495,-0.0018155458128899515
2022,uncertainty_0p5,42,false_confident_positive,833,-0.005541564716178504
2022,uncertainty_0p5,42,false_confident_negative,9005,-0.004219865188099414
2022,uncertainty_1p0,42,top_1pct,2475,-0.006658293503001622
2022,uncertainty_1p0,42,top_5pct,12374,-0.0040755323849570035
2022,uncertainty_1p0,42,top_10pct,24748,-0.0026022556517015794
2022,uncertainty_1p0,42,top_20pct,49495,-0.0017813637431861595
2022,uncertainty_1p0,42,false_confident_positive,833,-0.005619369854384715
2022,uncertainty_1p0,42,false_confident_negative,9005,-0.004229011499423896
2023,hard,42,top_1pct,2456,0.3026581429377839
2023,hard,42,top_5pct,12277,0.2549242052357446
2023,hard,42,top_10pct,24553,0.22785851157146556
2023,hard,42,top_20pct,49105,0.1832521261817233
2023,hard,42,false_confident_positive,1615,0.25065820584356313
2023,hard,42,false_confident_negative,13646,0.24710641017108367
2023,uncertainty_0p5,42,top_1pct,2456,-0.0006813465755844961
2023,uncertainty_0p5,42,top_5pct,12277,-0.0018714927996889563
2023,uncertainty_0p5,42,top_10pct,24553,-0.0025924605481504326
2023,uncertainty_0p5,42,top_20pct,49105,-0.002494211569539273
2023,uncertainty_0p5,42,false_confident_positive,1615,-0.008564005951223419
2023,uncertainty_0p5,42,false_confident_negative,13646,-0.0012084299346505345
2023,uncertainty_1p0,42,top_1pct,2456,-0.001238964298631573
2023,uncertainty_1p0,42,top_5pct,12277,-0.002618153393025402
2023,uncertainty_1p0,42,top_10pct,24553,-0.002737681360652222
2023,uncertainty_1p0,42,top_20pct,49105,-0.0023962776981245604
2023,uncertainty_1p0,42,false_confident_positive,1615,-0.008242810646310106
2023,uncertainty_1p0,42,false_confident_negative,13646,-0.0019283782471931632
2024,hard,42,top_1pct,2536,0.1380124253673991
2024,hard,42,top_5pct,12676,0.12433256843604285
2024,hard,42,top_10pct,25351,0.11074264967343064
2024,hard,42,top_20pct,50702,0.08815957072119085
2024,hard,42,false_confident_positive,2120,0.11859529249410333
2024,hard,42,false_confident_negative,618,0.19474859535814362
2024,uncertainty_0p5,42,top_1pct,2536,-0.0025810039804747276
2024,uncertainty_0p5,42,top_5pct,12676,-0.002764310382413371
2024,uncertainty_0p5,42,top_10pct,25351,-0.0026023517124539874
2024,uncertainty_0p5,42,top_20pct,50702,-0.002124042161242512
2024,uncertainty_0p5,42,false_confident_positive,2120,-0.003903297963184893
2024,uncertainty_0p5,42,false_confident_negative,618,0.00202852542484111
2024,uncertainty_1p0,42,top_1pct,2536,-0.0028318831480901308
2024,uncertainty_1p0,42,top_5pct,12676,-0.002336331406204928
2024,uncertainty_1p0,42,top_10pct,25351,-0.002419702619767594
2024,uncertainty_1p0,42,top_20pct,50702,-0.0021353882804822644
2024,uncertainty_1p0,42,false_confident_positive,2120,-0.004670725621007621
2024,uncertainty_1p0,42,false_confident_negative,618,0.003902044415215078
2022,hard,43,top_1pct,2475,0.3147728923228976
2022,hard,43,top_5pct,12374,0.25254338404546317
2022,hard,43,top_10pct,24748,0.2111911961194525
2022,hard,43,top_20pct,49495,0.16355333165393812
2022,hard,43,false_confident_positive,833,0.2196261403015626
2022,hard,43,false_confident_negative,9005,0.2701064626356404
2022,uncertainty_0p5,43,top_1pct,2475,-0.007830038483671142
2022,uncertainty_0p5,43,top_5pct,12374,-0.004692017261280601
2022,uncertainty_0p5,43,top_10pct,24748,-0.0028618249436076493
2022,uncertainty_0p5,43,top_20pct,49495,-0.001963484730969578
2022,uncertainty_0p5,43,false_confident_positive,833,-0.006569125167298406
2022,uncertainty_0p5,43,false_confident_negative,9005,-0.005024901588525976
2022,uncertainty_1p0,43,top_1pct,2475,-0.008561501376846081
2022,uncertainty_1p0,43,top_5pct,12374,-0.00463499273208845
2022,uncertainty_1p0,43,top_10pct,24748,-0.002896883926396532
2022,uncertainty_1p0,43,top_20pct,49495,-0.0019423734239537582
2022,uncertainty_1p0,43,false_confident_positive,833,-0.004810786353037333
2022,uncertainty_1p0,43,false_confident_negative,9005,-0.005198737694288358
2023,hard,43,top_1pct,2456,0.30303150189520145
2023,hard,43,top_5pct,12277,0.2554620588130302
2023,hard,43,top_10pct,24553,0.22817266068219588
2023,hard,43,top_20pct,49105,0.18331295543250836
2023,hard,43,false_confident_positive,1615,0.2511050666715794
2023,hard,43,false_confident_negative,13646,0.24757486254039235
2023,uncertainty_0p5,43,top_1pct,2456,-0.002967340659996154
2023,uncertainty_0p5,43,top_5pct,12277,-0.004834544403882701
2023,uncertainty_0p5,43,top_10pct,24553,-0.0039544455514652355
2023,uncertainty_0p5,43,top_20pct,49105,-0.00299283795884292
2023,uncertainty_0p5,43,false_confident_positive,1615,-0.006846572200651213
2023,uncertainty_0p5,43,false_confident_negative,13646,-0.004378033123020597
2023,uncertainty_1p0,43,top_1pct,2456,-0.0016293907494164817
2023,uncertainty_1p0,43,top_5pct,12277,-0.00358569515349072
2023,uncertainty_1p0,43,top_10pct,24553,-0.003311372246718791
2023,uncertainty_1p0,43,top_20pct,49105,-0.0027105718016055547
2023,uncertainty_1p0,43,false_confident_positive,1615,-0.006688798668928186
2023,uncertainty_1p0,43,false_confident_negative,13646,-0.0032192411447719005
2024,hard,43,top_1pct,2536,0.13776807587894707
2024,hard,43,top_5pct,12676,0.12425878068858062
2024,hard,43,top_10pct,25351,0.11063565870370923
2024,hard,43,top_20pct,50702,0.08800608920464081
2024,hard,43,false_confident_positive,2120,0.11807696331177236
2024,hard,43,false_confident_negative,618,0.19559287918049822
2024,uncertainty_0p5,43,top_1pct,2536,-0.003442225638801255
2024,uncertainty_0p5,43,top_5pct,12676,-0.00305486881974415
2024,uncertainty_0p5,43,top_10pct,25351,-0.002947594577270396
2024,uncertainty_0p5,43,top_20pct,50702,-0.00253549614874532
2024,uncertainty_0p5,43,false_confident_positive,2120,-0.005101902386883683
2024,uncertainty_0p5,43,false_confident_negative,618,0.002535158709529861
2024,uncertainty_1p0,43,top_1pct,2536,-0.002855009063380376
2024,uncertainty_1p0,43,top_5pct,12676,-0.0028325478535782267
2024,uncertainty_1p0,43,top_10pct,25351,-0.0028057607138872176
2024,uncertainty_1p0,43,top_20pct,50702,-0.002351565092857777
2024,uncertainty_1p0,43,false_confident_positive,2120,-0.004370587744557619
2024,uncertainty_1p0,43,false_confident_negative,618,0.0026365596382336154
