model,season,subset,n,history_median,champion_brier,candidate_brier,champion_bss,candidate_bss,delta_bss,two_sigma_bss,prediction_correlation,residual_correlation
auxiliary,2022,linked_pitcher,45569,1776.0,0.24474352567379332,0.24474234224671307,1919.8424687962067,1920.3167232801134,0.4742544839047168,5.260178987796819,0.9998210453491947,0.9999962628923844
auxiliary,2022,unlinked_pitcher,201903,1776.0,0.24276830390281975,0.2427658819710661,2528.162514765775,2529.1349239909387,0.9724092251180927,2.836395704792573,0.9998566789297202,0.9999945253664883
auxiliary,2022,high_history_pitcher,29959,1776.0,0.2473299601259743,0.24732383961529897,974.4297122860845,976.8802324728432,2.4505201867555244,6.000573093180279,0.9996931318172665,0.9999972542111331
auxiliary,2022,low_history_pitcher,15610,1776.0,0.23977959295419762,0.23978788486904085,3655.5651277990096,3652.23340202645,-3.3317257725604597,10.171588519307702,0.9998933493672626,0.9999945240166097
auxiliary,2022,cold_start,88,1776.0,0.24624174814469993,0.24609375049860713,682.4949149710325,742.187298895125,59.69238392410138,144.17738621880423,0.9999383636368611,0.9999946448422823
auxiliary,2022,non_cold_start,247384,1776.0,0.2431309110956382,0.24312876908531172,2421.312174547896,2422.1718536237668,0.8596790758596523,2.5087191180020656,0.9998517685183423,0.9999948180449186
auxiliary,2022,matchup_1/1,30719,1776.0,0.24365060275010442,0.24365153685013086,2530.7701889383807,2530.39651446717,-0.37367447122902536,7.270168270887305,0.9998703914005643,0.9999948988720161
auxiliary,2022,matchup_1/2,31497,1776.0,0.24285278169556848,0.2428513502294078,2356.6177190230133,2357.193266054325,0.5755470312997963,6.86532467339778,0.9998580293135747,0.99999486745031
auxiliary,2022,matchup_2/1,94115,1776.0,0.24289741574014492,0.24289182960110256,2351.6077108475697,2353.853422251817,2.245711404274092,4.3130834700561795,0.9998666381949429,0.9999944597988604
auxiliary,2022,matchup_2/2,91141,1776.0,0.24329598502310235,0.24329597634283182,2301.2169185610555,2301.2204042407116,0.003485679628663353,3.87055610813072,0.9998576115945901,0.9999955591756975
auxiliary,2022,count_0-0,64084,1776.0,0.24305955428893397,0.24305303754918106,2386.306713609321,2388.9238624695276,2.617148860202346,5.06612361702087,0.9998518374207002,0.9999947797157164
auxiliary,2022,count_0-1,31161,1776.0,0.24324996931560833,0.24324471959847954,2066.1150082227355,2068.228575574782,2.1135673520332974,7.067336422527581,0.9998489221654824,0.9999947654592545
auxiliary,2022,count_0-2,15595,1776.0,0.24553331305874085,0.24552346569816325,1599.035902060586,1602.9823717374936,3.9464696768954606,9.665932073311668,0.9998375089157218,0.9999953132140554
auxiliary,2022,count_1-0,25393,1776.0,0.24261045106735052,0.242603613743688,2650.1042085943172,2652.8477538254047,2.743545231072905,7.894898762360309,0.9998506544546996,0.9999947419840588
auxiliary,2022,count_1-1,25225,1776.0,0.24256520543229762,0.24257493274626463,2463.3762612292107,2459.4648619800987,-3.9113992491345364,7.744210949726916,0.9998560406997923,0.9999948383471584
auxiliary,2022,count_1-2,23740,1776.0,0.24545244465670835,0.24544016190824233,1484.1980853463333,1489.1279397486246,4.929854402308274,7.584752180533298,0.99983940599008,0.9999954970533893
auxiliary,2022,count_2-0,8700,1776.0,0.24054453189769667,0.24055382223340435,3512.4453123719477,3508.718760088314,-3.7265522836660887,13.59452239712749,0.9998581470059785,0.9999945731038477
auxiliary,2022,count_2-1,13114,1776.0,0.24131127097716676,0.24131749036464858,3185.27655333527,3182.781318543193,-2.4952347920607396,10.959457872099428,0.9998649230657226,0.9999945562248013
auxiliary,2022,count_2-2,20240,1776.0,0.24306230604159304,0.24306698644759403,2495.396774198988,2493.5192262669602,-1.8775479320155624,8.275255394448205,0.9998531421451196,0.9999952306836097
auxiliary,2022,count_3-0,2809,1776.0,0.24377379275854574,0.24373168890521563,2475.342158538507,2492.1863149318656,16.844156393354858,28.389135347210043,0.999868083264044,0.9999936406526231
auxiliary,2022,count_3-1,5605,1776.0,0.23977354089793332,0.23978954978332107,4055.618452699439,4049.21256403451,-6.40588866492931,17.949824168360223,0.9998811516984257,0.9999936522307257
auxiliary,2022,count_3-2,11806,1776.0,0.2431994307269245,0.24321494102235958,2719.110995243523,2712.906805849902,-6.20418939364282,11.66244623206257,0.999873531655232,0.9999946738705163
auxiliary,2023,linked_pitcher,60476,2187.0,0.25060705727046234,0.25049976807183993,-298.74530777207474,-255.80568698042595,42.93962079164299,5.07931764341842,0.9997987589663867,0.9999958054015345
auxiliary,2023,unlinked_pitcher,185049,2187.0,0.2529157174010524,0.252867439459172,-1172.490302431961,-1153.1779415517863,19.31236088018704,2.633314790407846,0.9998265251974862,0.9999962586643356
auxiliary,2023,high_history_pitcher,35311,2187.0,0.24830263473325442,0.2482209196185277,289.4296300805621,322.24386383202796,32.81423375146461,6.328507400571821,0.9995789743700905,0.9999964040906545
auxiliary,2023,low_history_pitcher,25165,2187.0,0.25384057462438037,0.2536974004078187,-1633.6207642259292,-1576.2961460053182,57.32461822061121,8.406666084954404,0.9998841974380588,0.9999950462943145
auxiliary,2023,cold_start,63,2187.0,0.27337499680414673,0.2735188565332129,-11628.123695026594,-11686.866417728603,-58.74272270201853,144.09270022670313,0.9998595097060524,0.9999964986448334
auxiliary,2023,non_cold_start,245462,2187.0,0.2523416673865493,0.25227880116038864,-936.6671958561445,-911.5207053318031,25.146490524372922,2.3463189292029596,0.9998179740195775,0.9999961167443038
auxiliary,2023,matchup_1/1,31695,2187.0,0.2515234351064511,0.25145753579057306,-1123.9787577639104,-1097.4842046174826,26.49455314642294,6.500098404653492,0.9998736628847007,0.999996307237492
auxiliary,2023,matchup_1/2,37418,2187.0,0.2520003374962789,0.2519221370154782,-824.5272013103433,-793.2394396272357,31.287761683123122,5.703170628841171,0.9998808773223402,0.9999963832058152
auxiliary,2023,matchup_2/1,86767,2187.0,0.2520091422979292,0.2519419293814285,-900.4221088595888,-873.5111341852341,26.910974674354506,4.2057240282624235,0.9997862364220889,0.9999962627642601
auxiliary,2023,matchup_2/2,89645,2187.0,0.25311006560250626,0.2530590247311855,-1257.3677587997433,-1236.94871988973,20.419038910037372,3.722391086168845,0.999833985860068,0.9999964632637903
auxiliary,2023,count_0-0,63138,2187.0,0.25246415785130116,0.252409681972185,-988.9463394765929,-967.1552793923511,21.79106008425912,4.672693193866421,0.9998144470107716,0.9999960653109
auxiliary,2023,count_0-1,30327,2187.0,0.2522118128488636,0.25213620388600966,-943.373201428277,-913.112034560104,30.261166868140283,6.5557708224581175,0.9998218469427687,0.9999961619056179
auxiliary,2023,count_0-2,14526,2187.0,0.2535732385869789,0.2535108169596455,-1430.595255889222,-1405.626284981465,24.968970907749405,9.534816798343366,0.9998142307448277,0.999996457647107
auxiliary,2023,count_1-0,25591,2187.0,0.252463053295955,0.25239946589443185,-989.943902635404,-964.5077525576085,25.436150077778382,7.396761919886015,0.9998005834531631,0.9999959030686684
auxiliary,2023,count_1-1,25293,2187.0,0.25278816748833344,0.2527246483591688,-1125.7076355977392,-1100.2973604689714,25.410275128739112,7.1384802011611175,0.9998132157354713,0.9999961756016721
auxiliary,2023,count_1-2,23456,2187.0,0.2528851362916125,0.25279888114444643,-1161.5570915212813,-1127.0524736444188,34.50461787686118,7.139763416728277,0.9998107524238155,0.999996567387432
