season,subset,n,delta_bss
2022,pitcher_low,32178,-0.2525492346316493
2022,pitcher_high,215206,1.1333270541895475
2022,batter_low,30093,0.8772694771312975
2022,batter_high,217291,0.9714633569337382
2022,pitcher_hand=1,62216,0.9314807817121795
2022,pitcher_hand=2,185256,0.9682900982500023
2022,batter_hand=1,124834,1.5235815933233403
2022,batter_hand=2,122638,0.3830538650968371
2022,inning=1,28784,0.6628291087693441
2022,inning=2,27405,0.9382590533004088
2022,inning=3,27159,0.7944890416319458
2022,inning=4,26951,0.6713554048183195
2022,inning=5,27135,3.3886669382809487
2022,inning=6,28465,-1.5371796347072548
2022,inning=7,28291,-2.503517375483733
2022,inning=8,28132,1.171011999392175
2022,inning=9,21244,5.507799401301513
2022,inning=10,2275,10.632118069466038
2022,inning=11,1128,3.216343708882072
2022,inning=12,503,-5.24915680017182
2022,pitcher_team_id=12,25163,1.1276418609593737
2022,pitcher_team_id=13,35983,3.4613438228796842
2022,pitcher_team_id=14,24085,1.8104774732578743
2022,pitcher_team_id=15,22765,1.9343774164970702
2022,pitcher_team_id=16,22697,-0.8696012149506358
2022,pitcher_team_id=17,25005,-0.5205077970321748
2022,pitcher_team_id=18,23092,2.8359092382489566
2022,pitcher_team_id=19,22838,2.3075062179687618
2022,pitcher_team_id=20,21199,-0.9260705920671721
2022,pitcher_team_id=21,23979,-2.40711710741039
2022,pitcher_team_id=23,666,-15.535504198285714
2022,count=0-0,64084,1.8969722856690603
2022,count=0-1,31161,-0.4830114055206468
2022,count=0-2,15595,-2.7729016935874395
2022,count=1-0,25393,2.2781063012785143
2022,count=1-1,25225,0.588410776924011
2022,count=1-2,23740,-0.4365807361283247
2022,count=2-0,8700,4.426381643061372
2022,count=2-1,13114,2.317229657999849
2022,count=2-2,20240,1.546308750064117
2022,count=3-0,2809,-0.0861471415070947
2022,count=3-1,5605,1.0678606599617482
2022,count=3-2,11806,0.4882734104449025
2023,pitcher_low,25823,-43.824422852500575
2023,pitcher_high,219639,-10.042344706535777
2023,batter_low,24129,-47.59614660010432
2023,batter_high,221325,-9.871601191379026
2023,pitcher_hand=1,69113,-12.701756337212569
2023,pitcher_hand=2,176412,-13.937326957058486
2023,batter_hand=1,118462,-13.822112770243766
2023,batter_hand=2,127063,-13.367227360700328
2023,inning=1,27890,-11.666439282679976
2023,inning=2,27024,-10.605804722149776
2023,inning=3,27308,-9.24630243244112
2023,inning=4,27430,-13.603549924004003
2023,inning=5,27427,-14.968572070314277
2023,inning=6,27669,-13.82682351339784
2023,inning=7,27920,-17.710885460957353
2023,inning=8,27857,-17.510638336063842
2023,inning=9,20601,-12.845048217387157
2023,inning=10,2557,-14.137142461930253
2023,inning=11,1078,-12.720927329001999
2023,inning=12,764,-11.45519287857849
2023,pitcher_team_id=12,24435,-5.390217443687812
2023,pitcher_team_id=13,34583,-59.89776562054153
2023,pitcher_team_id=14,23769,-12.887741476161871
2023,pitcher_team_id=15,23112,-6.933861756473671
2023,pitcher_team_id=16,22547,-5.128888216493711
2023,pitcher_team_id=17,24198,-8.231108025259951
2023,pitcher_team_id=18,22842,3.1912478754747737
