season,weight,gain_vs_champion
2022,0.025,-5.398707286774496e-07
2022,0.05,-7.009179314398928e-06
2022,0.1,-3.7736110056502126e-05
2022,0.15,-9.21807922263651e-05
2023,0.025,0.00012480669970371672
2023,0.05,0.00024478689671042497
2023,0.1,0.00047026778263353775
2023,0.15,0.0006764426577694493
2024,0.025,-1.3493008042736454e-05
2024,0.05,-3.099413852303279e-05
2024,0.1,-7.802076679677694e-05
2024,0.15,-0.00014107988482103817
pooled,0.025,3.628780296680012e-05
pooled,0.05,6.766138710181946e-05
pooled,0.1,0.00011566589887643253
pooled,0.15,0.0001440135353242833
