season,hierarchy,group_count,seen_rate,seen_median_n
2022,pitcher,560,0.842608456714295,2408.0
2022,batter,583,0.8897733885045581,3593.0
2022,pitcher_batter_side,1115,0.842608456714295,1194.0
2022,batter_pitcher_side,1127,0.8892359539665093,1835.0
2022,pitcher_count,6542,0.8399818969418763,239.0
2022,batter_count,6490,0.8878539794400983,316.0
2022,pitcher_batter,55131,0.491437415141915,20.0
2023,pitcher,648,0.8620181244272478,2945.0
2023,batter,671,0.905952550656756,4367.0
2023,pitcher_batter_side,1288,0.8620181244272478,1501.0
2023,batter_pitcher_side,1290,0.9047714082069036,1782.0
2023,pitcher_count,7532,0.8612442724773445,309.0
2023,batter_count,7483,0.9036187760920477,388.0
2023,pitcher_batter,69307,0.5410202627023725,20.0
2024,pitcher,711,0.8013940443459155,2995.0
2024,batter,742,0.9069532596733029,4396.0
2024,pitcher_batter_side,1413,0.8013585423676663,1588.0
2024,batter_pitcher_side,1427,0.9060578208885751,2152.0
2024,pitcher_count,8284,0.8008339020224293,319.0
2024,batter_count,8250,0.9056712437920846,450.0
2024,pitcher_batter,82297,0.5115874512340882,20.0
