season,segment,n,candidate_gain
2022,champion_error_top_5pct,12374,0.15183784761506286
2022,champion_error_top_10pct,24748,0.10014182671936656
2022,champion_error_top_20pct,49495,0.06623575694475137
2022,pitcher_unseen,38950,-0.004739020863929022
2022,pitcher_n_1_100,8862,-0.009287143545014365
2022,pitcher_n_gt_100,199660,-0.00442254365507902
2022,batter_unseen,27278,-0.006800027500475148
2022,batter_n_1_100,8744,-0.010478604246663414
2022,batter_n_gt_100,211450,-0.004127578762015832
2022,matchup_unseen,125855,-0.006192888676924635
2022,matchup_n_1_5,16899,-0.005824069619986438
2022,matchup_n_gt_5,104718,-0.0025980790119799757
2022,count_0,64084,-0.004487228429947282
2022,count_1,31161,-0.0038026730136386244
2022,count_2,15595,-0.003224066913894874
2022,count_3,25393,-0.005042517220043591
2022,count_4,25225,-0.004545391774053498
2022,count_5,23740,-0.0027266086328644745
2022,count_6,8700,-0.006920006459970596
2022,count_7,13114,-0.006308837644187937
2022,count_8,20240,-0.004974345119500595
2022,count_9,2809,-0.0056483248173030964
2022,count_10,5605,-0.008874094757012563
2022,count_11,11806,-0.006513844730615892
2023,champion_error_top_5pct,12277,0.13632295856218624
2023,champion_error_top_10pct,24553,0.10675907018564551
2023,champion_error_top_20pct,49105,0.07731044296086048
2023,pitcher_unseen,33878,0.0009281237755670579
2023,pitcher_n_1_100,4244,0.006285035139183992
2023,pitcher_n_gt_100,207403,0.001173024561713143
2023,batter_unseen,23091,0.006142377993881121
2023,batter_n_1_100,4415,0.01420584706189676
2023,batter_n_gt_100,218019,0.0004442411649322464
2023,matchup_unseen,112691,0.0025835049230214513
2023,matchup_n_1_5,17342,0.002343849468148529
2023,matchup_n_gt_5,115492,-0.0002630425586576668
2023,count_0,63138,0.0015764004628643913
2023,count_1,30327,0.0018374565651868568
2023,count_2,14526,0.0023658286710095955
2023,count_3,25591,0.001053013855218221
2023,count_4,25293,0.0019079080037087137
2023,count_5,23456,0.0020747401100044693
2023,count_6,8774,0.0005102001932128508
2023,count_7,13479,-0.00016935757216990366
2023,count_8,20380,0.0009372495301760986
2023,count_9,2858,0.0033564115655116966
2023,count_10,5807,-9.737900689293921e-05
2023,count_11,11896,-0.0035648436174021414
2024,champion_error_top_5pct,12676,0.09187613053045574
2024,champion_error_top_10pct,25351,0.0782716675638605
2024,champion_error_top_20pct,50702,0.06211018571782234
2024,pitcher_unseen,50348,-0.0042363867454812965
2024,pitcher_n_1_100,4201,-0.010227139558281612
2024,pitcher_n_gt_100,198958,-0.003383191429333021
2024,batter_unseen,23588,-0.005599513133410228
2024,batter_n_1_100,3048,-0.008042943908351419
2024,batter_n_gt_100,226871,-0.0034062291113431398
2024,matchup_unseen,123816,-0.004599394175523547
2024,matchup_n_1_5,17883,-0.004062510138651443
2024,matchup_n_gt_5,111808,-0.0025690680049454684
2024,count_0,65317,-0.0036442449297472423
2024,count_1,31402,-0.002967114899220774
2024,count_2,16155,-0.0016004996632189017
2024,count_3,26438,-0.004311166878148143
2024,count_4,25313,-0.00378335460733617
2024,count_5,24399,-0.0020905699317237403
2024,count_6,9392,-0.004862493869255274
2024,count_7,13446,-0.004843441550386629
2024,count_8,20640,-0.0030150686956142703
2024,count_9,3214,-0.005599698918938412
2024,count_10,6020,-0.0077984844802186926
2024,count_11,11771,-0.006251547718768097
