season,bin,lower,upper,rows,prediction_mean,target_mean,calibration_error
2022,0,0.0,0.1,0,,,
2022,1,0.1,0.2,0,,,
2022,2,0.2,0.30000000000000004,0,,,
2022,3,0.30000000000000004,0.4,2146,0.3880236377397604,0.38816402609506057,0.00014038835530016947
2022,4,0.4,0.5,106002,0.4687755978564089,0.47069866606290445,0.0019230682064955706
2022,5,0.5,0.6,108531,0.5325350645001939,0.5378831854493187,0.005348120949124735
2022,6,0.6000000000000001,0.7000000000000001,13867,0.6708168268529499,0.691930482440326,0.0211136555873761
2022,7,0.7000000000000001,0.8,16926,0.7277806172989725,0.7203710268226398,-0.007409590476332717
2022,8,0.8,0.9,0,,,
2022,9,0.9,1.0,0,,,
2023,0,0.0,0.1,0,,,
2023,1,0.1,0.2,0,,,
2023,2,0.2,0.30000000000000004,0,,,
2023,3,0.30000000000000004,0.4,4111,0.3792415642613024,0.3928484553636585,0.013606891102356078
2023,4,0.4,0.5,121842,0.4662618368894668,0.4763628305510415,0.010100993661574686
2023,5,0.5,0.6,93295,0.5300624975663797,0.5409185915643925,0.010856093998012795
2023,6,0.6000000000000001,0.7000000000000001,21789,0.6580948313142782,0.4724402221304328,-0.18565460918384535
2023,7,0.7000000000000001,0.8,4488,0.7143749509025277,0.5207219251336899,-0.1936530257688378
2023,8,0.8,0.9,0,,,
2023,9,0.9,1.0,0,,,
2024,0,0.0,0.1,0,,,
2024,1,0.1,0.2,0,,,
2024,2,0.2,0.30000000000000004,0,,,
2024,3,0.30000000000000004,0.4,5354,0.38462775837096325,0.3959656331714606,0.01133787480049736
2024,4,0.4,0.5,150787,0.46466841700205747,0.45994018051954083,-0.0047282364825166345
2024,5,0.5,0.6,95813,0.5330969648218508,0.5304395019464999,-0.0026574628753508467
2024,6,0.6000000000000001,0.7000000000000001,1553,0.6076939008522302,0.6020605280103026,-0.005633372841927553
2024,7,0.7000000000000001,0.8,0,,,
2024,8,0.8,0.9,0,,,
2024,9,0.9,1.0,0,,,
