feature,from,to,js,top_category,top_share_from,top_share_to,unseen_to
game_month,2022,2023,0.0037744665922784756,5,0.1812932372147152,0.16118928825985135,0.0
game_month,2023,2024,0.03347797667742499,6,0.17287852560839018,0.17559278442015408,0.04875999479304319
game_month,2022,2024,0.02442303452078114,5,0.1812932372147152,0.17387291080719663,0.04875999479304319
game_dayofweek,2022,2023,0.003084337171656067,5,0.1775473588931273,0.17596578759800427,0.0
game_dayofweek,2023,2024,0.0019146681157947744,6,0.18170451074228694,0.16519070479316153,0.0
game_dayofweek,2022,2024,0.0010340757593286132,5,0.1775473588931273,0.1576800640613474,0.0
inning,2022,2023,0.00011356653097945514,1,0.11631214844507662,0.11359332043580084,0.0
inning,2023,2024,0.0001780282896298857,7,0.11371550758578557,0.1153577613241449,0.00022484586224443508
inning,2022,2024,0.00011641024253918203,1,0.11631214844507662,0.11541693128789343,0.00022484586224443508
top_bottom,2022,2023,2.3672675661825073e-06,T,0.5120134803129243,0.5098381020262702,0.0
top_bottom,2023,2024,3.6827583562240324e-07,T,0.5098381020262702,0.5089800281649027,0.0
top_bottom,2022,2024,4.602951685818945e-06,T,0.5120134803129243,0.5089800281649027,0.0
game_type,2022,2023,0.0004208485052572854,R,0.8769638585375316,0.8953833621830771,0.0
game_type,2023,2024,0.0002391331802398082,R,0.8953833621830771,0.8816206258604299,0.0
game_type,2022,2024,2.5540795025939938e-05,R,0.8769638585375316,0.8816206258604299,0.0
balls_before,2022,2023,3.673051524691469e-05,0,0.447889054115213,0.43983708380002035,0.0
balls_before,2023,2024,1.5125632716374738e-05,0,0.43983708380002035,0.44525003254348006,0.0
balls_before,2022,2024,5.775373402399188e-06,0,0.447889054115213,0.44525003254348006,0.0
strikes_before,2022,2023,3.4672576488575975e-06,0,0.40807040796534555,0.4087608186539049,0.0
strikes_before,2023,2024,1.2436061626471124e-05,0,0.4087608186539049,0.4116691057840612,0.0
strikes_before,2022,2024,7.79218257174796e-06,0,0.40807040796534555,0.4116691057840612,0.0
outs_before,2022,2023,1.8040632026118707e-06,0,0.34058802612012673,0.3406699928724162,0.0
outs_before,2023,2024,1.328710762444772e-05,0,0.3406699928724162,0.3433080743332531,0.0
outs_before,2022,2024,7.099790513308915e-06,0,0.34058802612012673,0.3433080743332531,0.0
runner_on_1b,2022,2023,2.1507778517850483e-05,0,0.6544578780629727,0.6482069035739741,0.0
runner_on_1b,2023,2024,1.5753026132843365e-06,0,0.6482069035739741,0.6465107472377488,0.0
runner_on_1b,2022,2024,3.4724361373485255e-05,0,0.6544578780629727,0.6465107472377488,0.0
runner_on_2b,2022,2023,7.104769013358294e-05,0,0.7892408029999354,0.7794359026575706,0.0
runner_on_2b,2023,2024,3.853925866798166e-09,0,0.7794359026575706,0.7793630945102108,0.0
runner_on_2b,2022,2024,7.209801286464992e-05,0,0.7892408029999354,0.7793630945102108,0.0
runner_on_3b,2022,2023,1.4902903925103996e-07,0,0.8895592228615763,0.8899012320537624,0.0
runner_on_3b,2023,2024,2.8396104651271133e-05,0,0.8899012320537624,0.8851392663713428,0.0
runner_on_3b,2022,2024,2.443104716740919e-05,0,0.8895592228615763,0.8851392663713428,0.0
num_runners_on,2022,2023,4.9349191029571845e-05,0,0.533280532747139,0.5236533957845433,0.0
num_runners_on,2023,2024,1.0439195167831657e-05,0,0.5236533957845433,0.5192479892073986,0.0
num_runners_on,2022,2024,0.00010208746502740641,0,0.533280532747139,0.5192479892073986,0.0
base_state,2022,2023,9.508368779272655e-05,___,0.533280532747139,0.5236533957845433,0.0
base_state,2023,2024,4.148593479950008e-05,___,0.5236533957845433,0.5192479892073986,0.0
base_state,2022,2024,0.0001256459259635946,___,0.533280532747139,0.5192479892073986,0.0
pitcher_hand,2022,2023,0.0005790662218061279,2,0.748593780306459,0.7185093167701864,0.0
pitcher_hand,2023,2024,2.1214058177881218e-06,2,0.7185093167701864,0.7166547669295128,0.0
pitcher_hand,2022,2024,0.0006512508709895382,2,0.748593780306459,0.7166547669295128,0.0
batter_hand,2022,2023,0.00024101439001819602,1,0.5044368655847934,0.4824844720496894,0.0
batter_hand,2023,2024,5.078179786897158e-05,2,0.5175155279503105,0.5275830647674423,0.0
batter_hand,2022,2024,0.0005130006785439723,1,0.5044368655847934,0.4724169352325577,0.0
pitcher_team_id,2022,2023,0.0002173977617500156,13,0.14540230813991079,0.14085327359739333,0.0
pitcher_team_id,2023,2024,0.0005045938287373987,13,0.14085327359739333,0.14686773935236502,0.0011518419609714919
pitcher_team_id,2022,2024,0.000521031712065385,13,0.14540230813991079,0.14686773935236502,0.0011518419609714919
batter_team_id,2022,2023,0.00020133750680638841,13,0.15060693735048813,0.1431911210671011,0.0
batter_team_id,2023,2024,0.0004498171990834274,13,0.1431911210671011,0.14810636392683438,0.0011518419609714919
batter_team_id,2022,2024,0.0005403945440632843,13,0.15060693735048813,0.14810636392683438,0.0011518419609714919
