feature,gain_importance,gain_share
pitcher_id,162021.34005320072,0.24047944337374388
asof_batter_n,122712.18530106544,0.18213500768902555
batter_id,98962.54888400435,0.1468847169308556
asof_pitcher_n,59945.198612213135,0.08897339073025869
game_month,48063.17630338669,0.07133755269779486
asof_batter_middle_rate,38330.97943019867,0.056892583374004164
asof_batter_success_rate,26788.788420915604,0.0397611384154918
asof_pitcher_ball_rate,17662.086235046387,0.026214871851006596
asof_pitcher_strike_rate,16876.72936630249,0.025049209459970547
asof_pitcher_reverse_rate,14048.615966796875,0.020851594899520542
asof_pitcher_pitchmix_n,10540.955764770508,0.015645366061698564
asof_pitcher_offspeed_rate,9526.059940338135,0.014139011510738209
asof_pitcher_middle_rate,7030.650001525879,0.010435210561567966
pitcher_team_id,6643.747478485107,0.009860952236398017
asof_pitcher_prev5_game_middle_rate,5953.824432373047,0.008836937066265071
asof_pitcher_fastball_rate,5261.38321685791,0.00780918431455075
asof_pitcher_success_rate,4791.134208679199,0.0071112193446477776
asof_pitcher_breaking_rate,2896.5550231933594,0.004299198731785828
batter_hand,2670.936492919922,0.003964325445605483
asof_pitcher_prev3_game_middle_rate,2280.943687438965,0.0033854803826586493
asof_pitcher_prev5_game_success_rate,1804.797072649002,0.0026787619167369086
asof_pitcher_prev1_game_success_rate,1698.1523132324219,0.0025204749134643454
batter_team_id,1597.9249877929688,0.0023717129576343015
asof_pitcher_prev3_game_success_rate,1531.7690124511719,0.0022735212495493136
game_dayofweek,1005.6120071411133,0.0014925750870091693
inning,877.0180053710938,0.001301710019748879
score_diff_home,753.5402908325195,0.0011184387787410697
pitcher_hand,636.2078895568848,0.0009442886912328163
li,391.9249954223633,0.000581712907154573
run_top_before,216.66400146484375,0.000321582567174702
home_win_expectancy,117.0989990234375,0.00017380366126790674
away_win_expectancy,104.44510269165039,0.00015502217269746266
runner_on_1b,0.0,0.0
outs_before,0.0,0.0
strikes_before,0.0,0.0
run_bot_before,0.0,0.0
run_total_before,0.0,0.0
asof_pitcher_prev1_game_middle_rate,0.0,0.0
base_state,0.0,0.0
balls_before,0.0,0.0
game_type,0.0,0.0
top_bottom,0.0,0.0
num_runners_on,0.0,0.0
runner_on_3b,0.0,0.0
runner_on_2b,0.0,0.0
score_diff_pitcher_team,0.0,0.0
