feature,gain_importance,gain_share
asof_batter_success_rate,51591.61947631836,0.1190528385569619
asof_batter_middle_rate,48316.45728302002,0.11149507317172151
asof_pitcher_strike_rate,48184.935861587524,0.11119157429513028
asof_pitcher_reverse_rate,47349.37554740906,0.10926343503146257
asof_pitcher_middle_rate,33884.514731884,0.07819191765840373
asof_pitcher_offspeed_rate,31036.089010238647,0.07161888949951443
asof_pitcher_ball_rate,22105.050062179565,0.05100962100160891
asof_pitcher_fastball_rate,21670.75622177124,0.050007444388561355
asof_pitcher_success_rate,17970.33570098877,0.04146835274295398
asof_pitcher_breaking_rate,17568.14172935486,0.04054024979794962
batter_team_id,15389.934204101562,0.035513817375789
pitcher_team_id,14412.099349021912,0.033257365333406334
asof_pitcher_prev5_game_middle_rate,13416.899261951447,0.03096084127580702
game_dayofweek,7841.752754211426,0.01809563130847789
asof_pitcher_prev5_game_success_rate,6868.090761423111,0.015848808564530387
asof_pitcher_prev3_game_success_rate,6360.656932830811,0.014677854090006277
batter_hand,5540.188385009766,0.012784540591490484
asof_pitcher_prev3_game_middle_rate,5288.922890663147,0.012204720251733282
asof_pitcher_prev1_game_success_rate,4647.14105629921,0.010723744273640704
pitcher_hand,4477.4363050460815,0.010332133532237983
run_top_before,3325.566696166992,0.0076740788331118946
game_type,2487.4288787841797,0.005739991722177865
inning,1587.4069137573242,0.003663100731205077
score_diff_home,694.2982025146484,0.0016021627670034107
run_total_before,680.3757019042969,0.001570035199884991
asof_pitcher_prev1_game_middle_rate,620.7851104736328,0.0014325239309401342
li,34.34480094909668,7.925407428895822e-05
balls_before,0.0,0.0
outs_before,0.0,0.0
top_bottom,0.0,0.0
strikes_before,0.0,0.0
runner_on_3b,0.0,0.0
num_runners_on,0.0,0.0
score_diff_pitcher_team,0.0,0.0
runner_on_1b,0.0,0.0
runner_on_2b,0.0,0.0
away_win_expectancy,0.0,0.0
home_win_expectancy,0.0,0.0
base_state,0.0,0.0
run_bot_before,0.0,0.0
