feature,type,shift_22_23,shift_23_24,shift_22_24,specificity,direction_2023
asof_pitcher_fastball_rate,numeric,0.06119260096797696,0.051287737747112816,0.03177010439602823,0.0354026855490987,-0.010088216733384892
asof_pitcher_strike_rate,numeric,0.05516891938510926,0.05389112721362732,0.05387864191702685,0.026951806255113897,0.0020396164855325805
asof_pitcher_ball_rate,numeric,0.0517711024455047,0.060041524169330285,0.05256909900137946,0.025486552944814972,-0.0019280549591236817
asof_pitcher_offspeed_rate,numeric,0.04557400423974828,0.05290136111675514,0.04896318482406725,0.021092411827714652,0.004188989755550376
batter_id,numeric,0.09782805693498275,0.0905926199158863,0.14507248969183184,0.018056375069970376,96.24965989419798
asof_batter_n,numeric,0.18841020751703774,0.146636012318353,0.2739679870728168,0.009652018781944605,792.8701667056971
away_win_expectancy,numeric,0.03378974511407912,0.02872211445658257,0.038382554509500566,0.009530837201832287,-2.3008073922449057
home_win_expectancy,numeric,0.03378974511407917,0.028695756596457733,0.038382554509500566,0.00950447934170745,2.3006247298897833
asof_pitcher_pitchmix_n,numeric,0.09005245703550324,0.05361156653832802,0.09018810269068367,0.008517515192986186,686.0671417886042
asof_pitcher_n,numeric,0.09005245703550324,0.05361156653832802,0.09018810269068367,0.008517515192986186,686.0671417886042
score_diff_home,numeric,0.03325464493557978,0.027489085208208863,0.04428464815347899,0.005346761131469369,0.353670001522764
game_dayofweek,categorical,0.003084337171656067,0.0019146681157947744,0.0010340757593286132,0.0013976302361304678,
asof_pitcher_reverse_rate,numeric,0.07801045274926743,0.07064869960166281,0.13998993533011034,0.0006537319366076433,0.00965679323177071
game_type,categorical,0.0004208485052572854,0.0002391331802398082,2.5540795025939938e-05,0.00022636278272683823,
inning,categorical,0.00011356653097945514,0.0001780282896298857,0.00011641024253918203,5.536140970986412e-05,
balls_before,categorical,3.673051524691469e-05,1.5125632716374738e-05,5.775373402399188e-06,1.2237946015175143e-05,
strikes_before,categorical,3.4672576488575975e-06,1.2436061626471124e-05,7.79218257174796e-06,-4.2883363701638243e-07,
outs_before,categorical,1.8040632026118707e-06,1.328710762444772e-05,7.099790513308915e-06,-1.7458320540425866e-06,
top_bottom,categorical,2.3672675661825073e-06,3.6827583562240324e-07,4.602951685818945e-06,-1.9332000072870693e-06,
runner_on_3b,categorical,1.4902903925103996e-07,2.8396104651271133e-05,2.443104716740919e-05,-1.2066494544453555e-05,
runner_on_1b,categorical,2.1507778517850483e-05,1.5753026132843365e-06,3.4724361373485255e-05,-1.578687807345829e-05,
base_state,categorical,9.508368779272655e-05,4.148593479950008e-05,0.0001256459259635946,-2.1337028182297224e-05,
runner_on_2b,categorical,7.104769013358294e-05,3.853925866798166e-09,7.209801286464992e-05,-3.6045152506458164e-05,
num_runners_on,categorical,4.9349191029571845e-05,1.0439195167831657e-05,0.00010208746502740641,-4.060453734587155e-05,
pitcher_team_id,categorical,0.0002173977617500156,0.0005045938287373987,0.000521031712065385,-4.3118094282676883e-05,
batter_team_id,categorical,0.00020133750680638841,0.0004498171990834274,0.0005403945440632843,-6.885976522525371e-05,
batter_hand,categorical,0.00024101439001819602,5.078179786897158e-05,0.0005130006785439723,-0.00020571854140301457,
pitcher_hand,categorical,0.0005790662218061279,2.1214058177881218e-06,0.0006512508709895382,-0.000323504029676981,
asof_pitcher_prev1_game_success_rate,numeric,0.06955806969150014,0.055335579732776474,0.11231272745960486,-0.0008207839970259534,-0.022364401892066677
pitcher_id,numeric,0.13551331441913506,0.1891189083017617,0.27402399144796785,-0.00149868130484887,115.15617969987215
asof_pitcher_breaking_rate,numeric,0.04031735417901161,0.02116271271693615,0.04661934525682132,-0.002146959911474511,0.005899227350731895
run_bot_before,numeric,0.029906662467583334,0.05583220117566601,0.07016989078640146,-0.0051782829256173946,0.18873482863789404
li,numeric,0.009361243029829214,0.035348958212022774,0.0310638113994951,-0.0061706626699183365,0.011698361473702512
game_month,categorical,0.0037744665922784756,0.03347797667742499,0.02442303452078114,-0.008437050668112095,
run_top_before,numeric,0.017388605426149895,0.06577734762090859,0.05242007280975425,-0.00882143097872723,-0.1649351728848698
asof_pitcher_success_rate,numeric,0.08357025208470947,0.12280657717435906,0.1852018995489454,-0.009030697689763223,-0.011671190889785632
asof_pitcher_prev3_game_success_rate,numeric,0.0671065991031442,0.09199897513882516,0.15276767175584316,-0.009277236774777375,-0.018960057795066487
score_diff_pitcher_team,numeric,0.0023815515744366467,0.026684733440470065,0.025569995510491578,-0.010403446180809142,-0.0026998731157243383
asof_pitcher_prev5_game_success_rate,numeric,0.07255849924501717,0.11142806723211929,0.17275864245451644,-0.01382082198224105,-0.0171264641720853
asof_batter_success_rate,numeric,0.191478125133616,0.14342825561571165,0.31598226047056543,-0.014562874619571065,-0.016852312849971574
asof_pitcher_middle_rate,numeric,0.08763552949398523,0.16057028771898008,0.21381543266783287,-0.019272186839931205,0.0037554816619617126
run_total_before,numeric,0.013180277668527474,0.05869118481453828,0.07013600856694158,-0.021887726614943315,0.023799655753023785
asof_batter_middle_rate,numeric,0.13541116018061394,0.2318948803239666,0.3214900201859708,-0.025333849912371448,0.0026648298534453774
asof_pitcher_prev1_game_middle_rate,numeric,0.038913557216327,0.1254942010811097,0.15118350889096682,-0.03667819722915641,0.004750276149063676
asof_pitcher_prev3_game_middle_rate,numeric,0.043913318286201264,0.18515901496315318,0.2157623782883381,-0.06396787085796779,0.00453812439748294
asof_pitcher_prev5_game_middle_rate,numeric,0.05775673038660434,0.2001045386371768,0.24997965277950146,-0.06723309600314639,0.005210454312002427
