slice,share_2022,share_2023,share_2024,excess_2022,excess_2023,excess_2024,calibration_error_2022,calibration_error_2023,calibration_error_2024,brier_2022,brier_2023,brier_2024,rows_2022,rows_2023,rows_2024,common_score,same_direction,parent_left,parent_right,parent_best_common,improves_parent
count_family=two_strike & batter_history=500_plus,0.21035511088123102,0.21388860604826393,0.21861329272958932,0.0033536944842839644,-0.001032623539554467,0.001039950641869014,0.003147923743663905,-0.0011788900316102024,0.0035485161993886183,0.2464857117804633,0.25131444085240495,0.24869466618247896,52057.0,52515.0,55420.0,0.001039950641869014,True,count_family=two_strike,batter_history=500_plus,0.0009742680293624573,False
count_family=two_strike & pitcher_history=500_plus,0.2123957457813409,0.21465023928316873,0.21268446236198607,0.002459780326448613,-0.0004084240852282872,0.0010083023489701748,0.004998878072866253,-0.0039977935064507975,0.003619385093771299,0.24559179762262795,0.25193864030673113,0.24866301788958012,52562.0,52702.0,53917.0,0.0010083023489701748,True,count_family=two_strike,pitcher_history=500_plus,0.0009742680293624573,False
hand_matchup=opposite & count_family=two_strike,0.11984790198487101,0.11867630587516546,0.1236888922199387,0.0014553853062481137,0.0002838945829153894,0.000997829815852752,-0.00021720004695702233,-0.0059000340031589715,-0.0010669450560616411,0.24458740260242745,0.2526309589748748,0.2486525453564627,29659.0,29138.0,31356.0,0.000997829815852752,True,hand_matchup=opposite,count_family=two_strike,0.0009742680293624573,False
hand_matchup=same & count_family=two_strike,0.12088640331027349,0.11902657570512168,0.1177008918885869,0.0016031195469068948,0.0005504750146636539,0.0009495075434991229,0.008036872156201635,-0.011826987062833805,0.008677644121162231,0.24473513684308623,0.2528975394066231,0.24860422308410907,29916.0,29224.0,29838.0,0.0009495075434991229,True,hand_matchup=same,count_family=two_strike,0.0009742680293624573,False
game_type=R & batter_history=101_500,0.059845154199262944,0.04573465023928317,0.03880760689053951,0.005481438777001885,-0.0041292989136611224,0.00031991530022640324,0.008652052542986954,-7.039948434267584e-05,-0.006201597163340344,0.24861345607318122,0.2482177654782983,0.24797463084083635,14810.0,11229.0,9838.0,0.00031991530022640324,False,game_type=R,batter_history=101_500,0.00010224426028040967,False
inning_phase=late & game_type=R,0.2755301609879097,0.28001629161999797,0.27792526439112136,0.0049069037082750955,-0.0035439268380370037,0.00020383309645266579,0.003911607680773033,0.011822077973222267,-0.002244178065700597,0.24803892100445443,0.24880313755392242,0.2478585486370626,68186.0,68751.0,70456.0,0.00020383309645266579,False,inning_phase=late,game_type=R,0.00010224426028040967,False
game_type=R & pitcher_history=500_plus,0.7905904506368397,0.8227227369921597,0.7980844710402474,0.005187076296958554,-0.0039565147361367015,0.00011057162811414778,0.0038061584206635635,0.011860332226806436,-0.0026528736528289576,0.2483190935931379,0.24839054965582272,0.2477652871687241,195649.0,201999.0,202320.0,0.00011057162811414778,False,game_type=R,pitcher_history=500_plus,0.00010224426028040967,False
inning_phase=middle & game_type=R,0.29229569405831773,0.29941553813257304,0.29373942336897996,0.005304196512878945,-0.004438047417107016,0.00010363339037508523,0.004429929593190218,0.008560627544804689,-0.0063973569596064706,0.24843621380905828,0.2479090169748524,0.24775834893098503,72335.0,73514.0,74465.0,0.00010363339037508523,False,inning_phase=middle,game_type=R,0.00010224426028040967,False
game_type=R & pitcher_history=101_500,0.06846027025279627,0.0585480093676815,0.0677456638278233,0.004991965011857419,-0.004006072524503856,0.00010166783010598368,0.0037488034048741015,0.005024760366075187,-0.007785020438698553,0.24812398230803676,0.24834099186745556,0.24775638337071593,16942.0,14375.0,17174.0,0.00010166783010598368,False,game_type=R,pitcher_history=101_500,0.00010224426028040967,False
game_type=R & batter_history=500_plus,0.8030645891252344,0.8406272273699216,0.8355232794360709,0.0051471455693127555,-0.003976125286549337,9.95701153126416e-05,0.0031152484680002646,0.011908979033029565,-0.0029299591883842346,0.2482791628654921,0.24837093910541008,0.24775428565592258,198736.0,206395.0,211811.0,9.95701153126416e-05,False,game_type=R,batter_history=500_plus,0.00010224426028040967,False
count_family=pitcher_ahead & batter_history=500_plus,0.10992758776750501,0.11074228693615722,0.11189040144848071,0.0019321277596090758,-0.0015792230652637018,6.38531073686166e-05,0.012118628995429703,0.00456419041301348,0.008036167005477324,0.2450641450557884,0.2507678413266957,0.24771856864797856,27204.0,27190.0,28365.0,6.38531073686166e-05,True,count_family=pitcher_ahead,batter_history=500_plus,8.504291319205715e-05,False
count_family=pitcher_ahead & pitcher_history=500_plus,0.11069939225447728,0.11131656654108543,0.10897134990355296,0.0010334163645728256,-0.0007806018460809194,4.2925333427340506e-05,0.012982297929538422,-0.0010406841966367208,0.008060476944199646,0.24416543366075216,0.2515664625458785,0.24769764087403728,27395.0,27331.0,27625.0,4.2925333427340506e-05,True,count_family=pitcher_ahead,pitcher_history=500_plus,8.504291319205715e-05,False
count_family=even & pitcher_history=500_plus,0.3140840175858279,0.3225170552896854,0.3123740172855187,0.000953523894441255,-0.0007197034822052362,4.0667336767080675e-05,0.005038482492880858,-0.003958132576071249,-0.007167549536025608,0.2440855411906206,0.2516273609097542,0.24769538287737702,77727.0,79186.0,79189.0,4.0667336767080675e-05,False,count_family=even,pitcher_history=500_plus,7.865661325401341e-05,False
inning_phase=early & game_type=R,0.29367766858472877,0.29860910294267384,0.29634290177391553,0.005172574067431462,-0.004030832392069694,3.2567545591333236e-05,0.0035046151791388036,0.01184710498733671,-0.0011978770278080475,0.2483045913636108,0.24831623199988972,0.24768728308620128,72677.0,73316.0,75125.0,3.2567545591333236e-05,False,inning_phase=early,game_type=R,0.00010224426028040967,False
